student_id,program,gpa,course_id,course_name,course_level,course_difficulty,attempts,attendance,credit_load,grade,pass_fail
STU-0075,Geological Engineering,2.272,GL301,Hydrogeology,200,6.52,2,83.0,3,F,0
STU-0451,Electrical Engineering,2.541,EE301,Power Systems I,200,7.3,1,91.6,3,B,1
STU-0428,Electrical Engineering,2.861,EE301,Power Systems I,200,7.62,1,81.4,3,B,1
STU-0453,Geological Engineering,2.213,GL401,Engineering Geology,300,8.44,1,87.0,3,F,0
STU-0447,Geological Engineering,2.556,GL401,Engineering Geology,200,6.9,1,100.0,3,B,1
STU-0086,Mining Engineering,3.371,MN301,Rock Mechanics,200,7.46,1,95.9,3,A,1
STU-0511,Mining Engineering,3.051,GL401,Engineering Geology,200,6.29,1,75.7,3,A,1
STU-0469,Geological Engineering,3.439,GL301,Hydrogeology,400,7.02,1,86.7,3,A,1
STU-0270,Electrical Engineering,2.815,EE301,Power Systems I,400,8.13,1,89.5,3,B,1
STU-0316,Mechanical Engineering,2.952,ME301,Machine Design,300,7.44,1,73.6,3,B,1
STU-0117,Geological Engineering,2.556,GL301,Hydrogeology,400,6.9,1,75.7,3,D,1
STU-0242,Mechanical Engineering,2.552,ME301,Machine Design,300,7.71,1,98.2,3,D,1
STU-0256,Geological Engineering,2.281,GL301,Hydrogeology,200,7.59,1,96.2,3,C,1
STU-0518,Geological Engineering,2.253,GL301,Hydrogeology,300,6.58,1,72.1,3,D,1
STU-0018,Geological Engineering,2.707,GL301,Hydrogeology,300,6.74,1,54.6,3,F,0
STU-0272,Electrical Engineering,2.992,EE401,Renewable Energy,400,6.63,1,68.8,3,A,1
STU-0332,Electrical Engineering,2.893,EE301,Power Systems I,200,7.31,1,85.1,3,B,1
STU-0526,Electrical Engineering,2.545,GL401,Engineering Geology,300,7.22,1,92.2,3,B,1
STU-0580,Electrical Engineering,2.124,EE401,Renewable Energy,300,6.96,1,64.1,3,D,1
STU-0505,Geological Engineering,3.454,GL401,Engineering Geology,300,7.39,1,70.7,3,A,1
STU-0250,Mechanical Engineering,2.583,ME201,Thermodynamics I,200,7.66,1,82.3,3,C,1
STU-0531,Geological Engineering,2.348,GL401,Engineering Geology,300,7.5,1,83.2,3,F,0
STU-0427,Electrical Engineering,2.396,EE201,Circuit Theory II,200,7.19,1,92.7,3,D,1
STU-0156,Electrical Engineering,2.86,ME401,Finite Element Methods,200,7.92,1,77.8,3,B,1
STU-0162,Geological Engineering,3.123,GL201,Structural Geology,200,6.58,1,91.8,3,A,1
STU-0518,Geological Engineering,2.89,GL401,Engineering Geology,200,7.73,1,98.3,3,B,1
STU-0419,Mining Engineering,2.482,MN201,Introduction to Mining,200,5.95,1,75.6,2,D,1
STU-0066,Geological Engineering,2.394,MN201,Introduction to Mining,400,5.71,1,95.3,2,A,1
STU-0070,Mechanical Engineering,2.828,ME301,Machine Design,300,7.14,1,73.5,3,F,0
STU-0317,Mechanical Engineering,2.629,ME201,Thermodynamics I,200,7.12,1,100.0,3,B,1
STU-0055,Mining Engineering,2.042,MN401,Mine Planning,200,7.78,1,84.8,3,D,1
STU-0403,Mechanical Engineering,3.418,ME401,Finite Element Methods,300,7.66,1,82.2,3,A,1
STU-0073,Mechanical Engineering,3.059,ME301,Machine Design,300,6.86,1,92.4,3,F,0
STU-0455,Mechanical Engineering,3.547,ME401,Finite Element Methods,200,7.55,1,98.9,3,F,0
STU-0336,Geological Engineering,2.397,GL301,Hydrogeology,400,6.27,1,79.7,3,B,1
STU-0584,Mechanical Engineering,3.171,ME201,Thermodynamics I,400,7.5,1,78.4,3,A,1
STU-0144,Mining Engineering,2.802,MN201,Introduction to Mining,200,5.68,1,76.7,2,F,0
STU-0222,Electrical Engineering,2.069,EE301,Power Systems I,400,6.83,1,76.3,3,F,0
STU-0166,Electrical Engineering,3.338,EE201,Circuit Theory II,400,6.78,1,79.1,3,A,1
STU-0073,Mechanical Engineering,3.152,ME401,Finite Element Methods,200,8.53,1,85.0,3,B,1
STU-0474,Mechanical Engineering,3.055,ME401,Finite Element Methods,300,7.91,1,82.7,3,A,1
STU-0511,Mining Engineering,2.606,MN401,Mine Planning,300,7.95,3,71.2,3,F,0
STU-0339,Mechanical Engineering,2.44,ME301,Machine Design,300,7.14,1,84.2,3,C,1
STU-0312,Mechanical Engineering,2.239,ME201,Thermodynamics I,400,7.27,1,90.4,3,F,0
STU-0587,Electrical Engineering,2.89,EE201,Circuit Theory II,300,6.63,1,84.9,3,A,1
